pmid,year,words,chars,mentions,groups,type,field
17067329,2006,309,2042,8,8,Other or unspecified design,Cardiovascular medicine
16754626,2006,263,1837,11,11,Other or unspecified design,Respiratory medicine
17852414,2006,439,3010,11,10,Other or unspecified design,Endocrinology and metabolism
16989706,2006,263,1756,13,13,Other or unspecified design,Other or general medicine
16454990,2006,275,1836,8,8,Other or unspecified design,Cardiovascular medicine
16861720,2006,250,1742,7,7,Other or unspecified design,Cardiovascular medicine
16983957,2006,157,1058,3,3,Other or unspecified design,Other or general medicine
16715418,2006,236,1484,3,3,Other or unspecified design,Cardiovascular medicine
17050313,2006,223,1471,8,8,Other or unspecified design,Respiratory medicine
18632017,2006,207,1427,3,3,Qualitative study,Endocrinology and metabolism
16446056,2006,232,1601,4,4,Randomized controlled trial,Oncology
17134849,2007,250,1836,4,4,Randomized controlled trial,Other or general medicine
17488176,2007,255,1766,11,11,Other or unspecified design,Cardiovascular medicine
17921610,2007,264,1809,14,14,Other or unspecified design,Other or general medicine
17192727,2007,340,2233,7,7,Other or unspecified design,Endocrinology and metabolism
17346793,2007,346,2177,10,10,Other or unspecified design,Other or general medicine
17537166,2007,341,2283,6,6,Case-control study,Pediatrics and neonatology
17554249,2007,250,1786,14,14,Randomized controlled trial,Pediatrics and neonatology
17447177,2007,319,2320,8,8,Other or unspecified design,Neurology and psychiatry
17344487,2007,313,2110,9,8,Randomized controlled trial,Endocrinology and metabolism
17699944,2007,263,1803,3,3,Randomized controlled trial,Other or general medicine
18184522,2007,399,2843,5,5,Other or unspecified design,Cardiovascular medicine
18091416,2007,296,1891,5,5,Other or unspecified design,Cardiovascular medicine
17555951,2007,217,1515,8,8,Other or unspecified design,Cardiovascular medicine
17507704,2007,323,2032,8,8,Other or unspecified design,Endocrinology and metabolism
17608242,2007,350,2428,12,12,Other or unspecified design,Endocrinology and metabolism
17446034,2007,234,1528,4,4,Other or unspecified design,Cardiovascular medicine
16896641,2007,205,1567,7,7,Other or unspecified design,Cardiovascular medicine
18216764,2008,272,1826,4,4,Randomized controlled trial,Cardiovascular medicine
18502269,2008,223,1371,10,10,Cross-sectional study,Endocrinology and metabolism
19046724,2008,200,1347,3,3,Randomized controlled trial,Oncology
18031819,2008,356,2392,12,12,Other or unspecified design,Surgery and orthopedics
18295412,2008,337,2396,3,3,Randomized controlled trial,Cardiovascular medicine
18753421,2008,224,1593,9,9,Other or unspecified design,Endocrinology and metabolism
18067170,2008,241,1670,7,7,Other or unspecified design,Gastroenterology and hepatobiliary medicine
18821143,2008,276,1765,10,10,Other or unspecified design,Cardiovascular medicine
18676352,2008,262,1925,3,3,Other or unspecified design,Other or general medicine
19912513,2009,291,1733,5,5,Randomized controlled trial,Surgery and orthopedics
19439456,2009,292,2037,6,6,Randomized controlled trial,Endocrinology and metabolism
19812865,2009,285,1850,7,7,Randomized controlled trial,Neurology and psychiatry
19357695,2009,307,1916,16,16,Other or unspecified design,Cardiovascular medicine
19171610,2009,286,2057,8,8,Other or unspecified design,Endocrinology and metabolism
19273678,2009,267,1883,11,11,Nonrandomized intervention or clinical trial,Gastroenterology and hepatobiliary medicine
18991547,2009,265,1670,7,7,Other or unspecified design,Other or general medicine
19442777,2009,233,1568,11,9,Other or unspecified design,Other or general medicine
19738123,2009,322,2253,12,9,Other or unspecified design,Oncology
19720910,2009,287,1962,12,12,Cohort study,Oncology
19324301,2009,290,1855,10,10,Other or unspecified design,Cardiovascular medicine
19686306,2009,217,1479,4,4,Other or unspecified design,Neurology and psychiatry
19534034,2009,260,1681,6,6,Other or unspecified design,Cardiovascular medicine
19130316,2009,302,2074,9,9,Cross-sectional study,Endocrinology and metabolism
20236550,2009,315,2029,7,7,Randomized controlled trial,Oncology
19033371,2009,295,1955,6,6,Other or unspecified design,Surgery and orthopedics
21067014,2009,369,2436,9,9,Other or unspecified design,Oncology
20469780,2009,144,915,6,6,Other or unspecified design,Endocrinology and metabolism
19698051,2009,304,2190,20,20,Other or unspecified design,Oncology
20063421,2010,275,1866,23,22,Other or unspecified design,Endocrinology and metabolism
20072789,2010,134,931,3,3,Other or unspecified design,Pediatrics and neonatology
20172704,2010,247,1912,16,14,Randomized controlled trial,Respiratory medicine
20558849,2010,167,1070,4,4,Other or unspecified design,Neurology and psychiatry
21073073,2010,182,1187,10,10,Cross-sectional study,Cardiovascular medicine
20026784,2010,349,2384,13,13,Randomized controlled trial,Cardiovascular medicine
21555939,2010,254,1744,5,5,Cohort study,Cardiovascular medicine
20624169,2010,263,1834,8,8,Cohort study,Endocrinology and metabolism
22254072,2010,287,1791,12,12,Other or unspecified design,Other or general medicine
20733445,2010,270,1983,12,12,Randomized controlled trial,Other or general medicine
21112921,2010,240,1669,3,3,Randomized controlled trial,Cardiovascular medicine
20504122,2010,289,2003,5,5,Other or unspecified design,Cardiovascular medicine
20492005,2010,268,1876,7,7,Cohort study,Cardiovascular medicine
20682017,2010,301,1929,15,15,Randomized controlled trial,Endocrinology and metabolism
19885711,2010,280,2022,8,8,Other or unspecified design,Endocrinology and metabolism
21122062,2010,240,1922,12,12,Cross-sectional study,Cardiovascular medicine
20705721,2010,265,1855,7,7,Cross-sectional study,Cardiovascular medicine
21171529,2010,162,1179,9,9,Other or unspecified design,Other or general medicine
21075054,2010,457,3006,24,24,Meta-analysis or systematic review,Oncology
21129333,2010,277,1781,6,6,Other or unspecified design,Endocrinology and metabolism
22666007,2011,234,1568,4,4,Other or unspecified design,Gastroenterology and hepatobiliary medicine
21219853,2011,535,3616,13,7,Other or unspecified design,Surgery and orthopedics
21591871,2011,260,1776,4,4,Cohort study,Gastroenterology and hepatobiliary medicine
21441130,2011,225,1719,3,3,Other or unspecified design,Endocrinology and metabolism
22924306,2011,351,2212,6,6,Other or unspecified design,Surgery and orthopedics
22299381,2011,267,1696,4,4,Other or unspecified design,Cardiovascular medicine
21841542,2011,258,1653,6,6,Other or unspecified design,Respiratory medicine
20553786,2011,216,1522,9,9,Other or unspecified design,Other or general medicine
23171622,2011,189,1371,4,4,Other or unspecified design,Gastroenterology and hepatobiliary medicine
21324825,2011,291,1931,11,11,Randomized controlled trial,Endocrinology and metabolism
21981286,2011,300,1827,11,11,Other or unspecified design,Endocrinology and metabolism
21410602,2011,258,1911,6,5,Questionnaire or survey study,Respiratory medicine
21273939,2011,308,2131,12,11,Randomized controlled trial,Oncology
22108858,2011,216,1554,4,4,Other or unspecified design,Gastroenterology and hepatobiliary medicine
21560835,2011,181,1204,3,3,Cross-sectional study,Other or general medicine
22545131,2012,216,1640,3,3,Other or unspecified design,Oncology
22969252,2012,214,1400,13,13,Other or unspecified design,Cardiovascular medicine
22311294,2012,257,2044,3,3,Nonrandomized intervention or clinical trial,Cardiovascular medicine
22158099,2012,309,1974,5,5,Other or unspecified design,Cardiovascular medicine
22954074,2012,321,1998,17,17,Questionnaire or survey study,Obstetrics and gynecology
22652377,2012,235,1603,5,5,Other or unspecified design,Oncology
22142634,2012,264,1689,8,8,Other or unspecified design,Other or general medicine
23131574,2012,308,2090,5,5,Randomized controlled trial,Other or general medicine
24051989,2012,214,1336,3,3,Other or unspecified design,Cardiovascular medicine
22209591,2012,218,1529,5,5,Other or unspecified design,Cardiovascular medicine
22885408,2012,383,2573,6,6,Cohort study,Respiratory medicine
22473036,2012,291,2108,5,5,Other or unspecified design,Other or general medicine
22865016,2012,317,2336,6,5,Nonrandomized intervention or clinical trial,Cardiovascular medicine
21478798,2012,206,1505,9,9,Case report or case series,Neurology and psychiatry
23060582,2012,178,1318,3,3,Other or unspecified design,Oncology
23610082,2013,273,1796,11,11,Other or unspecified design,Endocrinology and metabolism
23074216,2013,216,1352,8,8,Other or unspecified design,Cardiovascular medicine
24295266,2013,277,1823,5,5,Other or unspecified design,Oncology
23910908,2013,260,1619,8,8,Other or unspecified design,Infectious diseases
23459096,2013,248,1643,8,8,Other or unspecified design,Oncology
22907693,2013,312,2049,22,22,Cohort study,Cardiovascular medicine
23949317,2013,452,2579,21,21,Other or unspecified design,Cardiovascular medicine
23039321,2013,249,1580,10,10,Randomized controlled trial,Endocrinology and metabolism
24140383,2013,214,1496,3,3,Randomized controlled trial,Cardiovascular medicine
23109506,2013,257,1565,8,7,Other or unspecified design,Endocrinology and metabolism
24576194,2013,252,1502,9,9,Randomized controlled trial,Cardiovascular medicine
23679109,2013,277,1755,20,19,Cross-sectional study,Pediatrics and neonatology
23611640,2013,263,1822,7,7,Questionnaire or survey study,Other or general medicine
23356556,2013,262,1707,18,17,Other or unspecified design,Endocrinology and metabolism
23880570,2013,165,1122,5,5,Other or unspecified design,Neurology and psychiatry
23288160,2013,303,2350,12,12,Other or unspecified design,Endocrinology and metabolism
25252480,2014,251,1682,5,5,Randomized controlled trial,Endocrinology and metabolism
24504442,2014,325,2205,17,17,Nonrandomized intervention or clinical trial,Oncology
24470515,2014,271,1688,7,7,Cohort study,Cardiovascular medicine
24876454,2014,276,1844,6,6,Cohort study,Endocrinology and metabolism
25006749,2014,209,1440,8,8,Other or unspecified design,Pediatrics and neonatology
24668309,2014,303,2002,7,5,Randomized controlled trial,Obstetrics and gynecology
26087840,2014,217,1548,5,5,Questionnaire or survey study,Cardiovascular medicine
23971677,2014,321,2234,3,3,Other or unspecified design,Endocrinology and metabolism
24964817,2014,244,1948,5,5,Other or unspecified design,Cardiovascular medicine
24403474,2014,160,1156,10,10,Other or unspecified design,Oncology
24440279,2014,321,2267,13,13,Other or unspecified design,Oncology
24465779,2014,266,1865,6,6,Other or unspecified design,Oncology
25455987,2014,428,3050,7,6,Randomized controlled trial,Respiratory medicine
24612300,2014,157,1167,3,3,Case report or case series,Oncology
24505094,2015,216,1553,4,4,Other or unspecified design,Gastroenterology and hepatobiliary medicine
26342550,2015,316,2087,9,8,Other or unspecified design,Oncology
25549283,2015,273,1900,7,7,Other or unspecified design,Endocrinology and metabolism
26202784,2015,227,1517,9,9,Other or unspecified design,Cardiovascular medicine
26863433,2015,196,1304,5,5,Questionnaire or survey study,Other or general medicine
25751242,2015,249,1673,4,4,Other or unspecified design,Other or general medicine
25933722,2015,234,1665,24,22,Questionnaire or survey study,Endocrinology and metabolism
26204638,2015,252,1740,6,5,Other or unspecified design,Gastroenterology and hepatobiliary medicine
26114916,2015,398,2907,8,8,Questionnaire or survey study,Gastroenterology and hepatobiliary medicine
25781527,2015,255,1694,8,8,Questionnaire or survey study,Endocrinology and metabolism
26498438,2015,327,2149,9,9,Other or unspecified design,Other or general medicine
26531829,2015,340,2015,6,6,Other or unspecified design,Cardiovascular medicine
25595045,2015,249,1628,3,3,Cross-sectional study,Respiratory medicine
26825059,2015,340,2286,4,4,Cross-sectional study,Other or general medicine
26743983,2015,151,988,4,4,Other or unspecified design,Infectious diseases
27755965,2016,180,1223,7,7,Other or unspecified design,Oncology
27876378,2016,224,1380,3,3,Other or unspecified design,Oncology
27487366,2016,269,1776,21,19,Other or unspecified design,Cardiovascular medicine
27551787,2016,500,3215,25,25,Questionnaire or survey study,Pediatrics and neonatology
26111831,2016,262,1837,4,4,Other or unspecified design,Endocrinology and metabolism
27316489,2016,249,1688,8,8,Randomized controlled trial,Cardiovascular medicine
26402643,2016,146,921,4,4,Other or unspecified design,Gastroenterology and hepatobiliary medicine
26158853,2016,297,1820,9,8,Other or unspecified design,Cardiovascular medicine
27256067,2016,327,2288,6,6,Cross-sectional study,Cardiovascular medicine
27255222,2016,198,1496,3,3,Other or unspecified design,Oncology
27339779,2016,265,1855,10,10,Randomized controlled trial,Cardiovascular medicine
28341262,2016,216,1550,5,5,Other or unspecified design,Infectious diseases
27179814,2016,236,1721,7,7,Randomized controlled trial,Infectious diseases
26938489,2016,262,1591,17,17,Randomized controlled trial,Endocrinology and metabolism
26959497,2016,302,1991,6,6,Other or unspecified design,Cardiovascular medicine
27826741,2016,288,2191,12,12,Randomized controlled trial,Neurology and psychiatry
27836107,2016,255,1803,8,8,Other or unspecified design,Neurology and psychiatry
27832984,2016,243,1667,5,5,Questionnaire or survey study,Oncology
26284315,2016,170,1147,9,9,Other or unspecified design,Other or general medicine
28250007,2017,255,1890,8,8,Other or unspecified design,Oncology
28098413,2017,348,2321,18,18,Other or unspecified design,Pediatrics and neonatology
29251458,2017,455,3041,3,3,Other or unspecified design,Gastroenterology and hepatobiliary medicine
27862131,2017,254,1732,5,5,Other or unspecified design,Other or general medicine
28054191,2017,279,1781,16,16,Other or unspecified design,Gastroenterology and hepatobiliary medicine
29280309,2017,227,1529,5,5,Other or unspecified design,Endocrinology and metabolism
28446496,2017,310,2159,7,7,Randomized controlled trial,Endocrinology and metabolism
28487027,2017,264,1792,3,3,Other or unspecified design,Obstetrics and gynecology
30543683,2017,268,1824,7,7,Questionnaire or survey study,Obstetrics and gynecology
27800644,2017,294,2044,17,17,Nonrandomized intervention or clinical trial,Cardiovascular medicine
28925893,2017,259,1813,5,5,Other or unspecified design,Cardiovascular medicine
28341544,2017,287,2077,5,5,Other or unspecified design,Cardiovascular medicine
29335781,2018,262,1764,9,9,Cohort study,Cardiovascular medicine
29753612,2018,299,2068,8,8,Cohort study,Oncology
30024443,2018,276,1937,7,7,Other or unspecified design,Other or general medicine
29912068,2018,267,1949,8,8,Other or unspecified design,Cardiovascular medicine
29538407,2018,273,1749,11,11,Cohort study,Neurology and psychiatry
30092398,2018,321,2140,18,18,Cohort study,Cardiovascular medicine
30178685,2018,313,2062,14,10,Other or unspecified design,Pediatrics and neonatology
29309634,2018,273,1913,8,8,Other or unspecified design,Obstetrics and gynecology
30093365,2018,259,1712,9,9,Other or unspecified design,Neurology and psychiatry
30259770,2018,192,1254,13,12,Cohort study,Surgery and orthopedics
30056842,2018,254,1726,11,11,Cohort study,Cardiovascular medicine
29635533,2018,303,1960,17,17,Other or unspecified design,Endocrinology and metabolism
29799676,2018,265,1678,19,19,Other or unspecified design,Oncology
29526564,2018,283,1982,4,4,Cohort study,Cardiovascular medicine
30371845,2018,295,1951,6,6,Other or unspecified design,Other or general medicine
29808754,2018,266,1836,5,5,Other or unspecified design,Cardiovascular medicine
31420365,2019,304,2046,12,11,Cohort study,Cardiovascular medicine
31079283,2019,265,1912,6,6,Meta-analysis or systematic review,Oncology
30916860,2019,208,1483,4,4,Other or unspecified design,Cardiovascular medicine
33180392,2019,243,1722,3,3,Other or unspecified design,Other or general medicine
29968132,2019,255,1691,4,4,Other or unspecified design,Pediatrics and neonatology
31562148,2019,303,2325,8,8,Cross-sectional study,Cardiovascular medicine
29017426,2019,215,1463,5,5,Other or unspecified design,Gastroenterology and hepatobiliary medicine
31608548,2019,287,1997,4,4,Meta-analysis or systematic review,Endocrinology and metabolism
31924480,2019,295,2206,4,4,Other or unspecified design,Neurology and psychiatry
